Pergunta,Resposta,Palavras-chave,,,Sinonimos,Tabulação,,
Declaração/IRPF- Cancelamento,"Regra Geral: Não é possível cancelar uma declaração de IRPF que já foi transmitida e processada.

Qual é a solução para corrigir erros?

Ação Correta: A solução padrão para corrigir qualquer erro ou omissão é fazer uma declaração retificadora.

Como Fazer: A retificação pode ser feita utilizando o programa oficial da Receita Federal ou pelo portal MIR.

E se o cliente insistir no cancelamento?

Processo de Exceção: O cancelamento total de uma declaração é um procedimento raro e complexo, feito diretamente pelo cliente no portal MIR com sua conta gov.br.

Responsabilidade: Este é um processo de total responsabilidade do cliente junto à Receita Federal.

Se necessário, ele deve buscar orientação diretamente com o suporte da Receita.","cancelamento, declaração, irpf, retificação",,,"cancelar declaracao irpf, declaracao irpf cancelamento, desativar, retificacao cancelamento, retificação",Empréstimos > Pessoal > Produtos de Crédito > Como contratar,,
desconto proporcional,"Regra do Contrato: O valor dos juros e o saldo devedor são fixados no momento da contratação e acordados pelo cliente.

Quitação Antecipada: Mesmo em caso de pagamento antecipado, o contrato estabelece um valor mínimo a ser pago, que faz parte das condições acordadas.

Promoções: Se um valor menor aparecer no app, trata-se de uma condição promocional específica, e não de uma alteração no contrato original.","desconto, proporcional",,,"abatimento proporcional, descontar, proporcional desconto",,Empréstimos > Trabalhador > Repasse de valores > Crédito Adquirido,
Valores de casas de apostas,"Responsabilidade: O pagamento de prêmios de plataformas de apostas (bets) é de responsabilidade da própria plataforma.

Possível Causa: A plataforma de apostas pode não ter o banco parceiro da Velotax (Celcoin) cadastrado em seu sistema para pagamentos.

Orientação: O cliente deve verificar diretamente com o suporte da plataforma de apostas.","apostas, bet, casa de aposta, casas, jogo de aposta, plataforma de jogos, valores",,,"aposta dinheiro, bet, casa aposta, casa de aposta, dinheiro bet, jogo de aposta, plataforma de jogos, plataforma jogos",Empréstimos > Pessoal > Elegibilidade > Inelegível / Fora do perfil,,
Divergência em Cobrança,"Verificação Interna: Conferir o valor devido no Octadesk e na CCB do cliente.

Argumento: O valor a ser quitado é o mesmo que consta no contrato (CCB) assinado pelo cliente no momento da contratação.","cobrança, divergência",,,"contestacao cobranca, custo, discrepancia tarifa, divergencia cobranca, erro cobranca",,Empréstimos > Trabalhador > Produtos de Crédito > Como contratar,
Divergência em Valores de Antecipação,"Se o cliente questiona o valor que foi antecipado ou o valor para quitação, informe que estes valores foram devidamente mostrados antes de contratar e durante também, nas telas do app onde mostrava os valores oferecidos e quanto ficaria para pagamento futuro.

Se ele falar sobre a data de vencimento do contrato, diga que é uma base para os cálculos, mas que os valores são fixos e não têm como alterá-los.Verifique se está disponivel, e informe sobre q quitação antecipada com o desconto, mas somente nos casos que o cliente falar que irá acionar a justiça","Cliente questionou o debito integral da restituição, antecipação, divergência, integral, toda a restituição, valores",,,"adiantamento, cliente questionou o debito integral da restituição, discrepancia oferta antecipacao, divergencia valores antecipacao, erro valores antecipacao, integral, toda a restituição",,Empréstimos > Trabalhador > Taxas e Juros > Valor de Taxas,
Cliente atritado,"Postura: Manter a calma e um tom respeitoso.

Ação: Tentar explicar a situação de forma clara.

Se o comportamento hostil persistir, encerrar a chamada com a frase ""Por falta de comunicação, o contato será encerrado"".

Casos Específicos (Portabilidade/Juros): Se o atrito for sobre portabilidade ou juros, informar que a solicitação será enviada ao setor responsável para análise e que o prazo de retorno é de até 48 horas.","atritado, atritar, atrito, bravo, cliente, irritado",,,"atritado atendimento, atritar, atrito, bravo, bravo cliente, cliente atrito, irritado, irritado cliente",conta > Conta > Portabilidade Chave PIX > Erro / Bug,,
"E-MAIL DA PROCURAÇÃO, e-mail da procuração","A intenção do envio do e-mail foi justamente reforçar nosso compromisso com a transparência.

Essa autorização é algo comum em serviços contábeis e fiscais e serve apenas para facilitar o acompanhamento da sua declaração junto à Receita, sem qualquer risco para seus dados bancários ou movimentações financeiras.

Mas, claro: se você preferir revogar, é só acessar o site do Portal MIR e fazer o cancelamento de forma simples e segura.

A gente continua à disposição para te orientar, com o máximo respeito pela sua autonomia.","email, mail, procuração",,,"documento email procuracao, email, email procuracao, envio procuracao",,Empréstimos > Trabalhador > Produtos de Crédito > Como contratar,
Encerramento Positivo,"""Agradeço a sua compreensão, [Nome do Cliente].

O Velotax está à disposição para qualquer outra dúvida."" • ""Ficamos à disposição para esclarecer qualquer dúvida adicional."" • ""Obrigado(a) por escolher o Velotax.

Tenha um excelente dia!""","encerramento, positivo",,,"despedida positiva, fechamento atendimento positivo",,Empréstimos > Trabalhador > Liquidação > Cancelamento,
Erro no Envio de Declaração,"Diagnóstico do Erro: Confirmação: Verifique com o cliente se a mensagem exata exibida no aplicativo é ""FALHA NA TRANSMISSÃO"".

Ação a ser Tomada: Cenário 1 (Orientação ao Cliente): Causa Provável: A falha geralmente ocorre por algum dado divergente ou inconsistente na declaração.

Ação: Oriente o cliente a revisar, item por item, todas as informações preenchidas na declaração para localizar um possível erro (CPF de dependente incorreto, valor digitado errado, etc.).

Cenário 2 (Escalonamento Interno): Ação: Caso o cliente não consiga identificar o erro, colete o CPF e o problema identificado.

Escalonamento: Envie essas informações para o time de Produto, solicitando uma verificação para identificar o que está incorreto na declaração e impedindo a transmissão.","declaração, envio, erro, transmissão",,,"dificuldade, erro envio declaracao, falha transmissao declaracao, problema enviar irpf, transmissão",,Empréstimos > Trabalhador > Liquidação > Quitação do contrato,
estorno negado,"Motivo da Negativa: O estorno foi negado porque o cliente utilizou uma funcionalidade paga da plataforma (ex: gerou uma DARF) dentro do período de 7 dias.

Regra Contratual: O direito de arrependimento (cancelamento em 7 dias) só é válido se nenhum serviço pago tiver sido utilizado, conforme os Termos de Contratação.","estorno, negado",,,"devolucao recusada, reembolso negado",Empréstimos > Pessoal > Elegibilidade > Inelegível / Fora do perfil,,
Ferramentas do GOV.BR,"Cenário: O cliente não recebe um código de verificação e na tela aparece a marca ""GOV.BR"".

Orientação: O problema está na conta do GOV.BR, não na Velotax.

O cliente precisa acessar o site do GOV.BR para atualizar seus dados de contato (e-mail ou telefone) por lá e depois tentar novamente no app.","ferramentas, gov, gov.br.",,,"acesso gov br, e-cac gov, ferramentas gov br, gov.br., portal gov br",,Empréstimos > Trabalhador > Produtos de Crédito > Critérios,
Frases de Apoio e Encerramento," Empatia: ""Compreendo sua preocupação..."", ""Entendo que essa situação pode ser frustrante..."".

 Encerramento: ""Agradeço pela sua compreensão.

Se precisar de mais algo, estamos à disposição."", ""Obrigado por escolher a Velotax.

Tenha um excelente dia!"".","apoio, encerramento, frases",,,"despedida apoio, encerramento frases, frases apoio, suporte frases",Empréstimos > Pessoal > Elegibilidade > Erro / Bug,,
Imposto de Renda?,"Definição: É um tributo federal cobrado sobre os ganhos (renda) de pessoas e empresas.

Incidência: Aplica-se a salários, aluguéis, investimentos, entre outros.

Declaração Anual: É obrigatória para quem atinge determinados limites de renda definidos pela Receita Federal a cada ano.","imposto, renda",,,"declaracao ir, imposto ir, imposto renda, irpf",Cadastro e APP > Aplicativo > Erro / Bug > Erro / Bug,,
Indicação e Promoções,"Como Funciona: O link de indicação é enviado por notificação de forma aleatória para a base de clientes.

Orientação: Se o cliente não recebeu, deve aguardar.

Se recebeu e apagou, não há como reenviar, mas ele pode verificar se há algo sobre o tema no app.","benefício, indicação, promoção, promoções",,,"beneficio indicacao, benefício, codigo promo, indicacao promocoes, promo indicacao, promoção",Empréstimos > Antecipação > Taxas e Juros > Valor de Taxas,,
Indisponibilidade de Antecipação,"Status Atual: A funcionalidade pode estar temporariamente indisponível para novas contratações.

Prazo: Não há um prazo definido para o retorno.

Orientação: O cliente deve acompanhar a disponibilidade diretamente pelo aplicativo.","antecipação, indisponibilidade, indisponível",,,"adiantar, erro disponibilidade, indisponibilidade antecipacao, indisponível, nao disponivel antecipacao",,Empréstimos > Trabalhador > Repasse de valores > Crédito Adquirido,
Metodos de pagamento da antecipação,"Opções de Quitação (Dívidas em Aberto):

 PIX: Pagamento imediato, com liberação da chave no mesmo dia.

 Cartão de Crédito: Pagamento integral ou parcelado (conforme condições).

Onde Pagar: Acessar a área de ""Impostos"" ou ""Próximos Pagamentos"" no aplicativo.","Quitação, antecipação, cartão, metodos, pagamento, parcelamento",,,"cartão, formas pagar antecipacao, metodos pagamento antecipacao, parcelamento, pix boleto antecipacao, quitação, receber antes",Cadastro e APP > Cadastro > Reativação > Reativação,,
Numero de contato Velotax,"Canais Oficiais de Atendimento:

 Capitais e regiões metropolitanas: 3003-7293

 Demais localidades: 0800-800-0049 Das 8h às 19h (dias úteis) Das 9h às 15h (sábados)","Telefone, atendimento, contato, horario, numero, telefone velotax, velotax",,,"atendimento, conta corrente, horario, horario atendimento, numero contato velotax, suporte telefone, telefone, telefone velotax",Empréstimos > Antecipação > Elegibilidade > Inelegível / Fora do perfil,,
O que é a Octadesk?,"Definição: A Octadesk é uma plataforma brasileira de atendimento omnichannel no modelo SaaS, acessada pela internet sem necessidade de instalação.

Funcionalidades: Centraliza canais como WhatsApp, Instagram, chat, e-mail e chatbot em um único painel, automatizando processos e unificando interações com clientes.","SaaS, atendimento, octadesk, omnichannel",,,"atendimento, atendimento octadesk, octadesk o que e, omnichannel, omnichannel octadesk, plataforma octadesk, saas",Empréstimos > Antecipação > Liquidação > Depósito da restituição,Anotação Interna<br><br>Solicitação:<br>Contexto:<br>Ação:<br>Decisão do cliente:,
O que são ativos no exterior?,"Definição: Qualquer tipo de investimento ou recurso financeiro mantido fora do país de residência do investidor.

Exemplos: Ações, títulos, fundos, imóveis ou contas bancárias em outros países.","ativos, exterior",,,"ativos exterior, ativos fora, declaracao ativos exterior, dinheiro disponível, investimentos exterior",-,,
O VeloPrime é do Velotax?,"Relação: Sim, o VeloPrime é uma marca do grupo Velotax.

Objetivo: Criado para atender clientes com investimentos em renda variável, simplificando a declaração de impostos.

Atendimento: Oferece serviço personalizado e exclusivo.","atendimento personalizado, declaração impostos, veloprime, velotax",,,"atendimento personalizado, declaração impostos, relacao veloprime velotax, veloprime velotax, velopro velotax",Empréstimos > Antecipação > Elegibilidade > Inelegível / Fora do perfil,,
